date,sexual,violent,property,Labor Force,Employed,Unemployed,Unemployment Rate                                                                                                                                                                      
2012-10-01,20,472,1253,117800,105600,12200,10.3
2012-11-01,25,432,1118,116100,104900,11200,9.7
2012-12-01,14,435,1169,115400,104100,11300,9.8
2013-01-01,25,439,1004,115800,103300,12600,10.8
2013-02-01,28,359,860,114600,102700,11900,10.3
2013-03-01,28,447,1074,114300,103200,11100,9.7
2013-04-01,28,444,1066,114500,103700,10800,9.4
2013-05-01,27,520,1152,115900,104700,11300,9.7
2013-06-01,17,530,1178,118200,106000,12300,10.4
2013-07-01,32,482,1320,117900,105500,12300,10.5
2013-08-01,31,453,1306,117300,105600,11700,10.0
2013-09-01,23,409,1250,116000,105000,11100,9.6
2013-10-01,20,322,1167,114400,104100,10200,9.0
2013-11-01,23,307,970,113800,104100,9700,8.5
2013-12-01,17,289,1005,112700,103500,9200,8.1
2014-01-01,27,311,973,112300,102200,10000,8.9
2014-02-01,17,284,767,111400,101400,10000,8.9
2014-03-01,32,304,850,111300,102100,9200,8.3
2014-04-01,24,350,991,110400,102200,8200,7.4
2014-05-01,20,442,1171,111500,102800,8700,7.8
2014-06-01,28,409,1218,113300,104100,9200,8.1
2014-07-01,41,441,1190,113300,103500,9800,8.7
2014-08-01,32,427,1280,112800,103100,9700,8.6
2014-09-01,19,361,1153,111100,102600,8500,7.7
2014-10-01,29,379,1171,110900,103200,7800,7.0
2014-11-01,26,328,946,109800,101900,7900,7.2
2014-12-01,20,364,1096,109300,101900,7300,6.7
2015-01-01,30,373,919,110300,101700,8600,7.8
2015-02-01,13,313,629,109400,101200,8200,7.5
2015-03-01,21,378,772,109800,102000,7700,7.1
2015-04-01,29,386,875,110300,102700,7600,6.9
2015-05-01,41,513,979,111800,103900,8000,7.1
2015-06-01,35,483,1072,112800,104700,8100,7.2
2015-07-01,32,542,1232,112800,104100,8700,7.7
2015-08-01,30,463,1232,112300,104200,8200,7.3
2015-09-01,27,419,1061,110800,103600,7200,6.5
2015-10-01,27,411,1138,111000,104000,6900,6.2
2015-11-01,25,367,982,110200,103500,6700,6.1
2015-12-01,28,366,1025,110300,103700,6600,6.0
2016-01-01,32,355,880,109600,102500,7100,6.5
2016-02-01,38,321,681,109300,102200,7100,6.5
2016-03-01,28,361,787,109600,102600,6900,6.3
2016-04-01,21,393,809,109200,102400,6700,6.2
2016-05-01,30,478,939,109600,103400,6200,5.7
2016-06-01,33,462,1037,110800,103800,7000,6.3
2016-07-01,32,484,1170,111200,103500,7700,6.9
2016-08-01,26,471,1230,110700,103000,7700,7.0
2016-09-01,21,392,1013,109700,102500,7200,6.6
2016-10-01,14,354,956,109400,102400,7000,6.4
2016-11-01,23,437,883,108400,101700,6600,6.1
2016-12-01,29,366,865,107800,101000,6800,6.3
2017-01-01,31,323,784,108600,100800,7800,7.1
2017-02-01,20,267,655,108400,100700,7800,7.2
2017-03-01,19,314,718,109200,102200,7000,6.4
2017-04-01,28,419,805,109100,102200,6900,6.4
2017-05-01,25,397,848,109700,102600,7100,6.5
2017-06-01,24,448,961,111200,103700,7500,6.7
2017-07-01,26,448,973,112000,103800,8200,7.3
2017-08-01,27,495,1088,111500,103300,8200,7.3
2017-09-01,26,433,935,110600,103600,7000,6.3
2017-10-01,33,408,997,109200,102500,6700,6.1
2017-11-01,32,340,901,108400,101700,6700,6.2
2017-12-01,19,376,758,107600,100900,6800,6.3
2018-01-01,27,368,732,107300,99800,7400,6.9
2018-02-01,22,321,703,107700,100100,7500,7.0
2018-03-01,25,381,747,108000,101200,6800,6.3
2018-04-01,21,376,762,107600,101400,6200,5.8
2018-05-01,33,462,905,108900,103000,5800,5.4
2018-06-01,34,459,945,110200,103900,6400,5.8
2018-07-01,27,483,1064,111000,104200,6800,6.1
2018-08-01,39,437,1108,109700,103400,6300,5.7
2018-09-01,25,391,1023,108700,103500,5200,4.8
2018-10-01,28,373,910,108600,103600,5000,4.6
2018-11-01,26,323,773,107400,102400,5000,4.6
2018-12-01,25,348,737,107200,101800,5400,5.0
2019-01-01,26,347,624,107900,101400,6500,6.0
2019-02-01,24,290,598,107500,101400,6100,5.7
2019-03-01,25,359,572,107800,102100,5700,5.3
2019-04-01,22,350,662,106900,101800,5200,4.8
2019-05-01,25,371,787,107700,102400,5300,5.0
2019-06-01,21,402,821,108800,103000,5800,5.3
2019-07-01,22,389,948,109600,102700,6900,6.3
2019-08-01,25,377,878,109400,102800,6600,6.1
2019-09-01,26,314,779,108600,103000,5700,5.2
2019-10-01,21,352,914,108900,103300,5600,5.2
2019-11-01,28,332,740,108200,102500,5700,5.3
2019-12-01,25,340,824,107900,101900,6000,5.5
2020-01-01,12,330,832,107800,101700,6100,5.6
2020-02-01,4,285,618,106900,101000,6000,5.6
2020-03-01,6,250,562,107200,100700,6500,6.0
2020-04-01,7,216,472,107300,81500,25700,24.0
2020-05-01,3,326,614,109200,88100,21100,19.3
2020-06-01,4,346,571,114400,93100,21300,18.6
2020-07-01,10,415,699,117700,95100,22600,19.2
2020-08-01,5,416,711,115000,97200,17800,15.5
2020-09-01,5,382,710,110100,97900,12300,11.1
2020-10-01,3,417,739,110200,98800,11400,10.3
2020-11-01,11,400,691,110000,98800,11100,10.1
2020-12-01,19,356,647,110600,98300,12300,11.1
2021-01-01,3,66,76,109400,97400,12000,11.0
2005-12-01,184,3938,16730,122600,115700,6900,5.6
2004-12-01,212,3806,16244,124000,115900,8200,6.6
2003-12-01,206,3919,16510,124200,115500,8700,7.0
2002-12-01,185,3757,15260,124200,116400,7800,6.3
2001-12-01,229,3709,16185,122500,114600,8000,6.5
2000-12-01,176,3657,16591,123100,117300,5800,4.7
1999-12-01,175,3242,17436,141900,131200,10700,7.5
1998-12-01,197,3485,18836,143900,133000,10900,7.5
1997-12-01,230,4013,21278,146100,134200,11900,8.1
1996-12-01,269,4524,22112,143800,133500,10300,7.2
1995-12-01,261,6333,22424,141700,130500,11200,7.9
1994-12-01,280,6890,24093,143800,131800,12000,8.4
1993-12-01,295,6041,25830,145000,130700,14300,9.9
1992-12-01,346,6367,26780,147300,131500,15800,10.7
1991-12-01,319,6040,25428,147600,130200,17400,11.8
1990-12-01,355,5276,23906,147500,133700,13900,9.4
